difficulty,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes,cluster
2.5,162.30581317376303,5706,856560,0.0066615298402913,65009.06450218059,63,4239180,1581,1
3.5,90.39190775784864,12752,1053240,0.0121074019216892,338935.35963971313,62,6152520,3357,3
4.0,116.9161666248612,16694,729840,0.0228735065219774,217552.8960316991,61,3630000,9915,4
4.0,146.92475623404752,12239,1383600,0.0088457646718704,103969.63699828873,62,6918000,3605,3
3.5,93.49232559440726,7905,881280,0.0089699074074074,435382.95068309625,64,4405790,1772,1
4.0,167.7778022257368,8972,1268640,0.0070721402446714,109597.34465693448,62,6077280,2780,3
2.5,87.58453368926854,3362,347040,0.0096876440756108,326395.4324338183,52,1718280,941,5
2.0,118.60454094370472,2937,409320,0.0071753151568455,104909.8328243276,43,2045775,560,5
2.0,36.31321362435361,6664,206608,0.0322543173546038,88060.80677668074,55,619616,2684,0
2.5,137.5310083241094,1139,70908,0.016063067636938,15148.34040920372,38,279900,550,2
2.0,110.00011000011,604,7679,0.0786560750097669,0.0,25,15358,364,2
2.0,129.37369711737608,756,15359,0.0492219545543329,12156.231258043645,25,45838,373,2
2.0,119.7051768405337,1976,38639,0.0511400398561039,9792.972971981637,28,115678,937,2
1.0,57.76669779544604,332,4799,0.0691810793915399,111031.40694363808,19,14278,138,2
3.0,120.0,3964,698880,0.0056719322344322,0.0,61,698880,166,0
2.5,120.0,1675,247296,0.0067732595755693,0.0,54,247296,104,2
1.0,154.000154000154,520,34512,0.0150672229949003,0.0,23,69024,107,2
1.0,120.0,652,28962,0.0225122574407844,0.0,24,57924,208,2
1.0,104.36562882905304,450,34464,0.0130571030640668,20962.988477372764,30,103212,103,2
3.0,120.0,2895,105752,0.0273753687873515,0.0,53,211504,709,2
2.5,145.00003625000906,2641,143712,0.0183770318414606,0.0,55,184032,776,2
3.0,120.0,14747,601795,0.0245050224744306,0.0,57,601795,2656,0
2.5,136.0001450668214,4960,477308,0.0103916129626991,0.0,55,954616,1929,0
2.5,50.0,1500,91904,0.0163213788300835,0.0,46,181888,551,2
3.0,85.95436195923062,3637,194560,0.0186934621710526,4389.803352888395,55,582656,1320,0
3.0,67.02552875165237,9544,287760,0.0331665276619405,50948.17443060355,42,863280,5144,0
2.5,46.0680268498902,2968,145440,0.0204070407040704,86012.95025040083,45,434640,1701,0
2.0,126.000126000126,5642,107280,0.0525913497390007,0.0,44,307192,3664,2
2.5,120.0,11777,565153,0.0208386047672046,0.0,58,565153,2035,0
3.0,115.00958948281236,11500,635040,0.0181090954900478,57853.48699548079,52,1905120,6633,5
2.5,56.2519249978321,5742,234621,0.0244735126011738,58243.38025005808,48,703581,3447,0
2.5,73.98280909379973,15878,275490,0.0576354858615557,233346.8051506728,57,1375080,6420,5
3.0,96.03049328197235,3795,127680,0.0297227443609022,24572.11137920408,58,342585,932,2
2.0,90.57537439277311,11196,258480,0.0433147632311977,248140.32022406952,49,516720,7015,0
2.5,65.99999340000066,3652,37920,0.0963080168776371,0.0,44,75840,1019,2
3.0,113.06480840062775,6934,718440,0.0096514670675352,137723.3204479292,51,4298280,1747,1
4.0,120.0,8013,366339,0.0218731830353852,0.0,52,366339,1277,0
2.0,69.99998833333528,2576,107522,0.023957887688101,0.0,26,215044,617,2
3.0,89.56419872287658,5567,509280,0.0109311184417216,361483.5555490947,56,3055680,1228,4
2.5,73.31316490406324,4774,526320,0.0090705274357805,632626.4934528024,60,3157920,1115,4
3.0,113.1920540240115,5855,641520,0.0091267614415762,256904.9741502996,55,3849120,1244,4
2.5,95.97440113510775,3257,416160,0.0078263168012302,216236.88242964947,47,2496960,900,4
3.0,106.61048747185848,4815,524640,0.0091777218664226,263660.0939850524,54,3147375,1364,4
3.0,103.85999731499513,10585,1095365,0.0096634455181606,216795.41557926164,58,6548120,2899,3
3.0,106.09072006015306,7577,769440,0.0098474215013516,170667.61033121022,56,4615015,2175,1
3.0,114.26834806825894,7157,796200,0.0089889475006279,153062.2821625998,57,4740455,2072,1
3.5,112.32978046193968,8117,779830,0.0104086788146134,189939.2104873443,59,4597170,2523,1
3.0,86.0276149461482,5770,570000,0.0101228070175438,441306.4962651238,52,3419280,1357,4
3.0,112.05966220842993,9470,1098530,0.0086206111803956,327224.83940550685,55,6587255,2689,3
3.0,106.78170901527776,13736,837135,0.0164083451295191,317855.4888246306,59,4988370,6021,1
3.0,94.40214038879316,7496,887425,0.0084469110065639,463497.120663618,57,5316040,1801,1
3.0,105.14347689185654,6400,1042080,0.0061415630277905,454071.7910944061,59,6248985,1549,3
3.5,120.55612694628738,7583,1040602,0.0072871280278146,242840.61588855865,59,6161052,1736,3
2.0,88.5179093467839,3628,330240,0.0109859496124031,302533.97026096535,49,1973240,890,5
3.0,132.69776405111753,3441,356160,0.0096613881401617,57032.87935079083,50,2128430,1106,5
2.5,71.97227073375497,5917,706320,0.0083772227885377,644660.844844403,54,4200670,1417,1
4.0,103.66694160583477,5920,606681,0.009758011211823,151310.732300956,53,1819563,1297,5
2.5,180.00018000018,9852,256080,0.0384723523898781,0.0,52,557472,4629,0
