file,average_tempo,average_bpm,note_count,tick_count,note_density,tempo_deviation,unique_note_count,total_duration,overlapping_notes
Alkan - Etude Op.76 No.3 for both hands.csv,377118.8332465213,159.10104378366648,6686,406628,0.016442546996271776,53117.91566856573,78,1609208,2772
Alkan - Gros Temps Foul Weather From  Les Mois  Op. 74 Bk. 4 No. 1.csv,481735.6029783647,124.54964845663415,1553,147120,0.010556008700380641,61572.41202682427,57,433320,136
Alkan - Hallelujah Psalm 150.csv,476190.0,126.000126000126,2256,16320,0.13823529411764707,0.0,36,92832,1633
Alkan - Saltarelle Op. 23.csv,204077.4252755995,294.00606127293145,4275,519106,0.008235312248365458,5145.511239403105,75,1554950,2018
Alkan - Un Nuit Dete Suite No. 1 from Les Mois Sequenced.csv,407289.210036557,147.3154665565891,1119,142097,0.00787490235543326,71838.49106649251,50,565996,85
Alkan - Valentin Alkan 82Le Festin Desope Op.39.csv,960413.7638412543,62.47307385519449,20124,267120,0.07533692722371968,100967.90134054245,84,801000,14814
Ambroise - Dance Fantastique.csv,385519.0781729001,155.63432109341892,3144,113568,0.02768385460693153,13768.537769941804,53,334368,1224
Ambroise - Polonaise 1905.csv,428974.46848507185,139.86846399481692,5390,83040,0.06490847784200385,4167.248251087948,58,248544,3027
Arensky - A fairy tale.csv,441176.0,136.0001450668214,1576,53597,0.02940463085620464,0.0,62,107194,198
Arensky - Psalm 119.csv,715334.5918724055,83.8768328579617,4328,160581,0.02695213007765551,59979.332913825434,43,779961,325
Arndt - Nola Novelty piano solo.csv,447617.0838436175,134.04314125991223,1049,302081,0.003472578546813603,38550.93155040355,38,1510405,198
Bacewitz - Sonata No.4 for Piano  Violin Mov.1.csv,527180.28434238,113.81305747206716,3387,187772,0.018037833116758623,126802.55846729662,80,1418940,1754
Bacewitz - Sonata No.4 for Piano  Violin Mov.2.csv,861655.5345577573,69.63339477740935,902,94224,0.00957293258617762,392473.0087748689,70,563644,388
Bacewitz - Sonata No.4 for Piano  Violin Mov.3.csv,441542.01753576373,135.8874073522123,3164,172412,0.018351390854464886,3849.098134008915,69,1031020,1497
Bacewitz - Sonata No.4 for Piano  Violin Mov.4.csv,333486.99003058794,179.91706361467567,4203,258620,0.016251643337715567,45405.53431673209,71,1549036,1965
Bach - 003706b_.csv,652173.0,92.00012880018032,304,73728,0.004123263888888889,0.0,25,368640,89
Bach - 003806b_.csv,625000.0,96.0,253,73729,0.003431485575553717,0.0,27,368645,64
Bach - 003907bv.csv,625000.0,96.0,285,69633,0.004092886993235966,0.0,26,348165,76
Bach - 003907b_.csv,625000.0,96.0,285,69633,0.004092886993235966,0.0,26,348165,76
Bach - 004003b_.csv,625000.0,96.0,204,49152,0.004150390625,0.0,27,245760,79
Bach - 004006b_.csv,625000.0,96.0,250,65537,0.0038146390588522515,0.0,31,327685,73
Bach - 004008b_.csv,750000.0,80.0,358,83968,0.0042635289634146345,0.0,31,419840,102
Bach - 004106bs.csv,600000.0,100.0,541,150528,0.003594015731292517,0.0,31,752640,162
Bach - 004106b_.csv,600000.0,100.0,927,172033,0.005388501043404463,0.0,33,1548297,292
Bach - 004207b_.csv,625000.0,96.0,599,114689,0.0052228199740166886,0.0,29,688134,181
Bach - 004311b_.csv,535714.0,112.00005973336519,261,92161,0.002832000520827682,0.0,26,460805,71
Bach - 004407b_.csv,576923.0,104.00001386666851,208,53248,0.00390625,0.0,23,266240,61
Bach - 004507b_.csv,625000.0,96.0,297,68609,0.004328878135521579,0.0,25,411654,85
Bach - 004606bs.csv,566037.0,106.00013780017915,239,77825,0.0030709926116286542,0.0,28,389125,92
Bach - 004606b_.csv,681818.0,88.00002346667293,851,90112,0.009443803267045454,0.0,44,811008,284
Bach - 004705b_.csv,625000.0,96.0,186,45056,0.004128196022727273,0.0,29,225280,60
Bach - 004803b_.csv,625000.0,96.0,157,45056,0.003484552556818182,0.0,29,225280,42
Bach - 004807b_.csv,625000.0,96.0,280,65537,0.004272395745914522,0.0,26,327685,77
Bach - 005206b_.csv,600000.0,100.0,323,60417,0.005346177400400549,0.0,24,422919,107
Bach - 005505b_.csv,625000.0,96.0,278,67584,0.004113399621212121,0.0,23,337920,87
Bach - 005605b_.csv,625000.0,96.0,353,90112,0.003917347301136364,0.0,32,540672,115
Bach - 005708b_.csv,625000.0,96.0,213,56832,0.0037478885135135134,0.0,23,284160,65
Bach - 005903b_.csv,576923.0,104.00001386666851,745,118784,0.006271888469827586,0.0,31,950272,244
Bach - 006005b_.csv,681818.0,88.00002346667293,282,81920,0.0034423828125,0.0,29,409600,99
Bach - 006106b_.csv,845070.0,71.00003550001774,551,57344,0.009608677455357142,0.0,36,401408,134
Bach - 006206bv.csv,625000.0,96.0,188,32768,0.0057373046875,0.0,32,196608,52
Bach - 006206b_.csv,625000.0,96.0,188,32768,0.0057373046875,0.0,32,196608,52
Bach - 006402b_.csv,625000.0,96.0,173,45056,0.003839666193181818,0.0,25,225280,55
Bach - 006404b_.csv,600000.0,100.0,368,69632,0.005284926470588236,0.0,28,417792,107
Bach - 006408b_.csv,625000.0,96.0,272,77824,0.0034950657894736842,0.0,33,389120,87
Bach - 006502b_.csv,625000.0,96.0,147,51200,0.00287109375,0.0,24,256000,43
Bach - 006507b_.csv,625000.0,96.0,332,81920,0.004052734375,0.0,27,409600,112
Bach - 006606b_.csv,625000.0,96.0,163,40960,0.0039794921875,0.0,24,204800,47
Bach - 006704b_.csv,500000.0,120.0,173,58369,0.0029639020713049737,0.0,28,291845,60
