tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
1997,note_on,,,,,4,0,1,,,0,65,48,,
2024,note_off,,,,,27,0,1,,,0,71,64,,
2033,note_off,,,,,9,0,1,,,0,68,64,,
2034,note_off,,,,,1,0,1,,,0,65,64,,
2048,note_off,,,,,14,0,1,,,0,80,64,,
2052,note_off,,,,,4,0,1,,,0,74,64,,
2538,note_on,,,,,486,0,1,,,0,76,46,,
2541,note_on,,,,,3,0,1,,,0,61,41,,
2542,note_on,,,,,1,0,1,,,0,68,43,,
2545,note_on,,,,,3,0,1,,,0,64,36,,
2547,note_on,,,,,2,0,1,,,0,71,36,,
2567,note_off,,,,,20,0,1,,,0,76,64,,
2571,note_off,,,,,4,0,1,,,0,61,64,,
2572,note_off,,,,,1,0,1,,,0,68,64,,
2576,note_off,,,,,4,0,1,,,0,64,64,,
2579,note_off,,,,,3,0,1,,,0,71,64,,
2650,note_on,,,,,71,0,1,,,0,77,62,,
2651,note_on,,,,,0,0,1,,,0,62,63,,
2651,note_on,,,,,1,0,1,,,0,68,53,,
2654,note_on,,,,,3,0,1,,,0,65,56,,
2656,note_on,,,,,2,0,1,,,0,71,55,,
2675,note_off,,,,,19,0,1,,,0,62,64,,
2679,note_off,,,,,4,0,1,,,0,77,64,,
2680,note_off,,,,,1,0,1,,,0,65,64,,
2682,note_off,,,,,2,0,1,,,0,71,64,,
2708,note_off,,,,,26,0,1,,,0,68,64,,
2851,note_on,,,,,143,0,1,,,0,58,41,,
2854,note_on,,,,,0,0,1,,,0,73,42,,
2854,note_on,,,,,3,0,1,,,0,65,31,,
2855,note_on,,,,,1,0,1,,,0,68,42,,
2858,note_on,,,,,3,0,1,,,0,61,41,,
2884,note_off,,,,,0,0,1,,,0,65,64,,
2884,note_off,,,,,26,0,1,,,0,73,64,,
2885,note_off,,,,,0,0,1,,,0,68,64,,
2885,note_off,,,,,1,0,1,,,0,58,64,,
2890,note_off,,,,,5,0,1,,,0,61,64,,
2967,note_on,,,,,77,0,1,,,0,74,57,,
2967,note_on,,,,,0,0,1,,,0,68,40,,
2968,note_on,,,,,1,0,1,,,0,62,45,,
2971,note_on,,,,,3,0,1,,,0,65,33,,
2974,note_on,,,,,3,0,1,,,0,59,43,,
2997,note_off,,,,,23,0,1,,,0,74,64,,
3000,note_off,,,,,3,0,1,,,0,59,64,,
3000,note_off,,,,,0,0,1,,,0,68,64,,
3001,note_off,,,,,1,0,1,,,0,62,64,,
3004,note_off,,,,,3,0,1,,,0,65,64,,
3160,note_on,,,,,156,0,1,,,0,70,41,,
3165,note_on,,,,,5,0,1,,,0,65,38,,
3166,note_on,,,,,0,0,1,,,0,58,27,,
3166,note_on,,,,,1,0,1,,,0,62,16,,
3173,note_on,,,,,7,0,1,,,0,55,37,,
3196,note_off,,,,,23,0,1,,,0,70,64,,
