tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,channel,program,note,velocity,control,value
232404,note_off,4,0,3,,,,,,,,,,,,0,,59,64,,
232414,note_off,10,0,3,,,,,,,,,,,,0,,65,64,,
232480,note_off,66,0,3,,,,,,,,,,,,0,,80,64,,
232484,note_on,4,0,3,,,,,,,,,,,,0,,81,49,,
232639,note_off,155,0,3,,,,,,,,,,,,0,,81,64,,
232643,note_on,4,0,3,,,,,,,,,,,,0,,83,45,,
232799,note_off,156,0,3,,,,,,,,,,,,0,,83,64,,
232800,set_tempo,480,1,0,,,,,,,,,,,237500,,,,,,
232804,note_on,5,0,3,,,,,,,,,,,,0,,81,51,,
232958,note_off,154,0,3,,,,,,,,,,,,0,,81,64,,
232963,note_on,5,0,3,,,,,,,,,,,,0,,80,47,,
233116,note_on,153,0,3,,,,,,,,,,,,0,,92,50,,
233130,note_off,14,0,3,,,,,,,,,,,,0,,80,64,,
233268,note_off,138,0,3,,,,,,,,,,,,0,,92,64,,
233280,set_tempo,480,1,0,,,,,,,,,,,247500,,,,,,
233283,note_on,15,0,3,,,,,,,,,,,,0,,81,43,,
233284,note_on,1,0,3,,,,,,,,,,,,0,,65,31,,
233287,note_on,3,0,3,,,,,,,,,,,,0,,69,28,,
233295,note_on,8,0,3,,,,,,,,,,,,0,,59,22,,
233385,note_off,90,0,3,,,,,,,,,,,,0,,59,64,,
233391,note_off,6,0,3,,,,,,,,,,,,0,,65,64,,
233403,note_off,12,0,3,,,,,,,,,,,,0,,69,64,,
233440,note_on,37,0,3,,,,,,,,,,,,0,,83,53,,
233451,note_off,11,0,3,,,,,,,,,,,,0,,81,64,,
233593,note_off,142,0,3,,,,,,,,,,,,0,,83,64,,
233600,note_on,7,0,3,,,,,,,,,,,,0,,84,60,,
233752,note_off,152,0,3,,,,,,,,,,,,0,,84,64,,
233760,set_tempo,480,1,0,,,,,,,,,,,247500,,,,,,
233761,note_on,9,0,3,,,,,,,,,,,,0,,83,53,,
233915,note_on,154,0,3,,,,,,,,,,,,0,,81,52,,
233924,note_off,9,0,3,,,,,,,,,,,,0,,83,64,,
234075,note_off,151,0,3,,,,,,,,,,,,0,,81,64,,
234078,note_on,3,0,3,,,,,,,,,,,,0,,93,55,,
234240,note_on,162,0,3,,,,,,,,,,,,0,,81,44,,
234240,set_tempo,480,1,0,,,,,,,,,,,240000,,,,,,
234241,note_off,1,0,3,,,,,,,,,,,,0,,93,64,,
234242,note_on,1,0,3,,,,,,,,,,,,0,,69,28,,
234248,note_on,6,0,3,,,,,,,,,,,,0,,65,32,,
234254,note_on,6,0,3,,,,,,,,,,,,0,,60,37,,
234336,note_off,82,0,3,,,,,,,,,,,,0,,69,64,,
234336,note_off,0,0,3,,,,,,,,,,,,0,,60,64,,
234338,note_off,2,0,3,,,,,,,,,,,,0,,65,64,,
234396,note_on,58,0,3,,,,,,,,,,,,0,,83,51,,
234399,note_off,3,0,3,,,,,,,,,,,,0,,81,64,,
234556,note_off,157,0,3,,,,,,,,,,,,0,,83,64,,
234560,note_on,4,0,3,,,,,,,,,,,,0,,84,55,,
234674,control_change,114,0,3,,,,,,,,,,,,0,,,,64,127
234699,note_on,25,0,3,,,,,,,,,,,,0,,50,39,,
234720,set_tempo,480,1,0,,,,,,,,,,,260000,,,,,,
234726,note_off,27,0,3,,,,,,,,,,,,0,,84,64,,
234771,note_off,45,0,3,,,,,,,,,,,,0,,50,64,,
235194,note_on,423,0,3,,,,,,,,,,,,0,,70,39,,
235196,note_on,2,0,3,,,,,,,,,,,,0,,66,32,,
235200,note_on,4,0,3,,,,,,,,,,,,0,,82,46,,
235200,set_tempo,480,1,0,,,,,,,,,,,230000,,,,,,
235203,note_on,3,0,3,,,,,,,,,,,,0,,60,32,,
235265,note_off,62,0,3,,,,,,,,,,,,0,,66,64,,
235277,note_off,12,0,3,,,,,,,,,,,,0,,70,64,,
235287,note_off,10,0,3,,,,,,,,,,,,0,,60,64,,
235354,note_off,67,0,3,,,,,,,,,,,,0,,82,64,,
235363,note_on,9,0,3,,,,,,,,,,,,0,,84,44,,
235519,note_on,156,0,3,,,,,,,,,,,,0,,86,30,,
235527,note_off,8,0,3,,,,,,,,,,,,0,,84,64,,
235680,set_tempo,480,1,0,,,,,,,,,,,240000,,,,,,
235682,note_off,155,0,3,,,,,,,,,,,,0,,86,64,,
235684,note_on,2,0,3,,,,,,,,,,,,0,,84,46,,
235835,note_off,151,0,3,,,,,,,,,,,,0,,84,64,,
235844,note_on,9,0,3,,,,,,,,,,,,0,,82,49,,
236003,note_on,159,0,3,,,,,,,,,,,,0,,94,50,,
236010,note_off,7,0,3,,,,,,,,,,,,0,,82,64,,
236066,control_change,56,0,3,,,,,,,,,,,,0,,,,64,0
236151,note_on,85,0,3,,,,,,,,,,,,0,,69,18,,
236153,note_on,2,0,3,,,,,,,,,,,,0,,66,31,,
236155,note_off,2,0,3,,,,,,,,,,,,0,,94,64,,
236160,set_tempo,480,1,0,,,,,,,,,,,247500,,,,,,
236161,note_on,6,0,3,,,,,,,,,,,,0,,81,39,,
236172,note_on,11,0,3,,,,,,,,,,,,0,,60,23,,
236220,note_off,48,0,3,,,,,,,,,,,,0,,66,64,,
236243,note_off,23,0,3,,,,,,,,,,,,0,,60,64,,
236255,note_off,12,0,3,,,,,,,,,,,,0,,69,64,,
236319,note_off,64,0,3,,,,,,,,,,,,0,,81,64,,
236323,note_on,4,0,3,,,,,,,,,,,,0,,82,36,,
236477,note_on,154,0,3,,,,,,,,,,,,0,,84,46,,
236478,note_off,1,0,3,,,,,,,,,,,,0,,82,64,,
236639,note_on,161,0,3,,,,,,,,,,,,0,,82,36,,
236640,set_tempo,480,1,0,,,,,,,,,,,230000,,,,,,
236645,note_off,6,0,3,,,,,,,,,,,,0,,84,64,,
236792,note_off,147,0,3,,,,,,,,,,,,0,,82,64,,
236803,note_on,11,0,3,,,,,,,,,,,,0,,81,45,,
236964,note_off,161,0,3,,,,,,,,,,,,0,,81,64,,
236964,note_on,0,0,3,,,,,,,,,,,,0,,93,55,,
237094,note_on,130,0,3,,,,,,,,,,,,0,,66,28,,
237101,note_on,7,0,3,,,,,,,,,,,,0,,68,40,,
237108,note_on,7,0,3,,,,,,,,,,,,0,,60,30,,
237116,note_on,8,0,3,,,,,,,,,,,,0,,80,53,,
237120,set_tempo,480,1,0,,,,,,,,,,,242500,,,,,,
237122,note_off,6,0,3,,,,,,,,,,,,0,,93,64,,
237180,note_off,58,0,3,,,,,,,,,,,,0,,68,64,,
237182,note_off,2,0,3,,,,,,,,,,,,0,,60,64,,
237186,note_off,4,0,3,,,,,,,,,,,,0,,66,64,,
237275,note_off,89,0,3,,,,,,,,,,,,0,,80,64,,
237276,note_on,1,0,3,,,,,,,,,,,,0,,81,48,,
237430,note_off,154,0,3,,,,,,,,,,,,0,,81,64,,
237439,note_on,9,0,3,,,,,,,,,,,,0,,83,37,,
237596,note_off,157,0,3,,,,,,,,,,,,0,,83,64,,
237597,note_on,1,0,3,,,,,,,,,,,,0,,81,46,,
237600,set_tempo,480,1,0,,,,,,,,,,,232500,,,,,,
237755,note_off,158,0,3,,,,,,,,,,,,0,,81,64,,
237762,note_on,7,0,3,,,,,,,,,,,,0,,80,53,,
237923,note_off,161,0,3,,,,,,,,,,,,0,,80,64,,
237923,note_on,0,0,3,,,,,,,,,,,,0,,92,51,,
238049,note_on,126,0,3,,,,,,,,,,,,0,,66,38,,
238054,note_on,5,0,3,,,,,,,,,,,,0,,60,28,,
238059,note_on,5,0,3,,,,,,,,,,,,0,,69,48,,
238080,set_tempo,480,1,0,,,,,,,,,,,242500,,,,,,
238082,note_off,23,0,3,,,,,,,,,,,,0,,92,64,,
238084,note_on,2,0,3,,,,,,,,,,,,0,,81,50,,
238144,note_off,60,0,3,,,,,,,,,,,,0,,60,64,,
238152,note_off,8,0,3,,,,,,,,,,,,0,,66,64,,
238155,note_off,3,0,3,,,,,,,,,,,,0,,69,64,,
