tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,channel,program,note,velocity,control,value
247999,note_on,155,0,3,,,,,,,,,,,,0,,85,56,,
248003,note_off,4,0,3,,,,,,,,,,,,0,,83,64,,
248160,set_tempo,480,1,0,,,,,,,,,,,255000,,,,,,
248163,note_off,160,0,3,,,,,,,,,,,,0,,85,64,,
248163,note_on,0,0,3,,,,,,,,,,,,0,,83,64,,
248315,note_off,152,0,3,,,,,,,,,,,,0,,83,64,,
248319,note_on,4,0,3,,,,,,,,,,,,0,,82,52,,
248479,note_on,160,0,3,,,,,,,,,,,,0,,94,59,,
248487,note_off,8,0,3,,,,,,,,,,,,0,,82,64,,
248638,note_on,151,0,3,,,,,,,,,,,,0,,67,38,,
248640,set_tempo,480,1,0,,,,,,,,,,,225000,,,,,,
248642,note_on,4,0,3,,,,,,,,,,,,0,,69,38,,
248643,note_on,0,0,3,,,,,,,,,,,,0,,81,53,,
