tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
6060,note_off,,,,,16,0,1,,,0,,,69,64
6060,note_off,,,,,0,0,1,,,0,,,63,64
6066,note_off,,,,,6,0,1,,,0,,,54,64
6068,note_off,,,,,2,0,1,,,0,,,60,64
6148,note_on,,,,,80,0,1,,,0,,,59,53
6152,note_on,,,,,4,0,1,,,0,,,74,50
6152,note_on,,,,,0,0,1,,,0,,,68,50
6158,note_on,,,,,6,0,1,,,0,,,65,25
6166,note_off,,,,,8,0,1,,,0,,,59,64
6174,note_off,,,,,8,0,1,,,0,,,65,64
6182,note_off,,,,,8,0,1,,,0,,,68,64
6182,note_off,,,,,0,0,1,,,0,,,74,64
6214,control_change,,,,,32,0,1,,,0,64,0,,
6218,control_change,,,,,4,0,1,,,0,64,127,,
6236,note_on,,,,,18,0,1,,,0,,,74,49
6240,note_on,,,,,4,0,1,,,0,,,68,50
6246,note_on,,,,,6,0,1,,,0,,,59,51
6256,note_on,,,,,10,0,1,,,0,,,65,35
6272,note_off,,,,,16,0,1,,,0,,,65,64
6282,note_off,,,,,10,0,1,,,0,,,59,64
6290,note_off,,,,,8,0,1,,,0,,,74,64
6292,note_off,,,,,2,0,1,,,0,,,68,64
6304,control_change,,,,,12,0,1,,,0,64,0,,
6314,control_change,,,,,10,0,1,,,0,64,127,,
6322,note_on,,,,,8,0,1,,,0,,,67,57
6326,note_on,,,,,4,0,1,,,0,,,58,67
6328,note_on,,,,,2,0,1,,,0,,,73,56
6332,note_on,,,,,4,0,1,,,0,,,64,63
6336,note_off,,,,,4,0,1,,,0,,,67,64
6344,note_off,,,,,8,0,1,,,0,,,73,64
6352,note_off,,,,,8,0,1,,,0,,,64,64
6354,note_off,,,,,2,0,1,,,0,,,58,64
6378,control_change,,,,,24,0,1,,,0,64,0,,
6414,control_change,,,,,36,0,1,,,0,64,127,,
6420,note_on,,,,,6,0,1,,,0,,,78,62
6420,note_on,,,,,0,0,1,,,0,,,72,54
6420,note_on,,,,,0,0,1,,,0,,,63,61
6426,note_on,,,,,6,0,1,,,0,,,69,46
6436,note_off,,,,,10,0,1,,,0,,,78,64
6454,note_off,,,,,18,0,1,,,0,,,72,64
6458,note_off,,,,,4,0,1,,,0,,,63,64
6462,note_off,,,,,4,0,1,,,0,,,69,64
6482,control_change,,,,,20,0,1,,,0,64,0,,
6512,note_on,,,,,30,0,1,,,0,,,78,62
6516,note_on,,,,,4,0,1,,,0,,,72,60
6516,note_on,,,,,0,0,1,,,0,,,63,57
6520,control_change,,,,,4,0,1,,,0,64,127,,
