tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,control,value,channel,note,velocity
355680,set_tempo,,,,,12,1,0,298507,,,,,
355688,set_tempo,,,,,8,1,0,297030,,,,,
355704,note_on,,,,,0,0,1,,,,0,38,81
355704,note_on,,,,,82,0,1,,,,0,50,81
355708,set_tempo,,,,,20,1,0,295567,,,,,
355716,set_tempo,,,,,8,1,0,292683,,,,,
355720,control_change,,,,,16,0,1,,64,0,0,,
355728,set_tempo,,,,,12,1,0,291262,,,,,
355730,control_change,,,,,10,0,1,,64,127,0,,
355736,set_tempo,,,,,8,1,0,289855,,,,,
355744,set_tempo,,,,,8,1,0,285714,,,,,
355752,note_off,,,,,22,0,1,,,,0,38,64
355760,note_off,,,,,8,0,1,,,,0,50,64
355854,note_on,,,,,94,0,1,,,,0,54,82
355856,note_on,,,,,2,0,1,,,,0,42,82
355874,control_change,,,,,18,0,1,,64,0,0,,
355892,control_change,,,,,18,0,1,,64,127,0,,
355932,note_off,,,,,0,0,1,,,,0,54,64
355932,note_off,,,,,40,0,1,,,,0,42,64
355940,note_off,,,,,8,0,1,,,,0,102,64
355958,note_off,,,,,18,0,1,,,,0,93,64
355976,note_off,,,,,18,0,1,,,,0,90,64
355998,note_on,,,,,22,0,1,,,,0,43,88
356000,note_on,,,,,2,0,1,,,,0,55,88
356010,control_change,,,,,10,0,1,,64,0,0,,
356028,control_change,,,,,18,0,1,,64,127,0,,
356060,note_off,,,,,32,0,1,,,,0,55,64
356066,note_off,,,,,6,0,1,,,,0,43,64
356146,note_on,,,,,80,0,1,,,,0,56,89
356146,note_on,,,,,0,0,1,,,,0,44,89
356204,note_on,,,,,0,0,1,,,,0,78,89
356204,note_on,,,,,58,0,1,,,,0,81,89
356206,note_on,,,,,2,0,1,,,,0,90,89
356210,note_on,,,,,4,0,1,,,,0,86,89
356214,note_off,,,,,4,0,1,,,,0,44,64
356214,note_off,,,,,0,0,1,,,,0,56,64
356230,note_off,,,,,16,0,1,,,,0,90,64
356230,note_off,,,,,0,0,1,,,,0,78,64
356236,note_off,,,,,6,0,1,,,,0,81,64
356244,note_off,,,,,8,0,1,,,,0,86,64
356270,note_on,,,,,26,0,1,,,,0,57,92
356272,note_on,,,,,0,0,1,,,,0,45,92
356272,note_on,,,,,0,0,1,,,,0,78,92
356272,note_on,,,,,2,0,1,,,,0,90,92
356276,note_on,,,,,0,0,1,,,,0,81,92
356276,note_on,,,,,4,0,1,,,,0,86,92
356284,control_change,,,,,8,0,1,,64,0,0,,
356332,control_change,,,,,48,0,1,,64,127,0,,
356348,note_off,,,,,16,0,1,,,,0,45,64
356348,note_off,,,,,0,0,1,,,,0,57,64
356422,note_on,,,,,74,0,1,,,,0,58,94
356424,note_on,,,,,2,0,1,,,,0,46,94
356434,control_change,,,,,10,0,1,,64,0,0,,
356448,control_change,,,,,14,0,1,,64,127,0,,
356498,note_off,,,,,50,0,1,,,,0,46,64
356504,note_off,,,,,6,0,1,,,,0,58,64
356560,note_on,,,,,56,0,1,,,,0,59,95
356560,note_on,,,,,0,0,1,,,,0,47,95
356580,control_change,,,,,20,0,1,,64,0,0,,
356608,control_change,,,,,28,0,1,,64,127,0,,
356636,note_off,,,,,28,0,1,,,,0,47,64
356640,note_off,,,,,4,0,1,,,,0,59,64
356708,control_change,,,,,0,0,1,,64,0,0,,
356708,note_on,,,,,68,0,1,,,,0,60,100
356708,note_on,,,,,0,0,1,,,,0,48,100
356746,control_change,,,,,38,0,1,,64,127,0,,
356778,note_off,,,,,32,0,1,,,,0,48,64
356782,note_off,,,,,4,0,1,,,,0,60,64
356860,note_on,,,,,78,0,1,,,,0,61,101
356860,note_on,,,,,0,0,1,,,,0,49,101
356870,control_change,,,,,10,0,1,,64,0,0,,
356902,control_change,,,,,32,0,1,,64,127,0,,
356924,note_off,,,,,22,0,1,,,,0,49,64
356932,note_off,,,,,8,0,1,,,,0,61,64
356966,note_off,,,,,34,0,1,,,,0,81,64
356968,note_off,,,,,2,0,1,,,,0,86,64
356980,note_off,,,,,12,0,1,,,,0,90,64
356996,note_off,,,,,16,0,1,,,,0,78,64
