tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,port,note,velocity
2339,note_on,,,,,59,0,0,,,,,0,,,87,0
2340,note_on,,,,,1,0,0,,,,,0,,,90,70
2387,note_on,,,,,227,0,1,,,,,0,,,67,0
2399,note_on,,,,,59,0,0,,,,,0,,,90,0
2400,note_on,,,,,13,0,1,,,,,0,,,63,0
2400,note_on,,,,,1,0,0,,,,,0,,,91,73
2400,note_on,,,,,0,0,1,,,,,0,,,63,73
2459,note_on,,,,,59,0,0,,,,,0,,,91,0
2460,note_on,,,,,1,0,0,,,,,0,,,92,77
2519,note_on,,,,,59,0,0,,,,,0,,,92,0
2520,note_on,,,,,1,0,0,,,,,0,,,91,81
2579,note_on,,,,,59,0,0,,,,,0,,,91,0
2580,note_on,,,,,1,0,0,,,,,0,,,95,85
2639,note_on,,,,,59,0,0,,,,,0,,,95,0
2640,note_on,,,,,0,0,1,,,,,0,,,60,89
2640,note_on,,,,,1,0,0,,,,,0,,,96,89
2640,note_on,,,,,240,0,1,,,,,0,,,60,0
2699,note_on,,,,,59,0,0,,,,,0,,,96,0
2700,note_on,,,,,1,0,0,,,,,0,,,97,93
2759,note_on,,,,,59,0,0,,,,,0,,,97,0
2760,note_on,,,,,1,0,0,,,,,0,,,96,97
2819,note_on,,,,,59,0,0,,,,,0,,,96,0
2820,note_on,,,,,1,0,0,,,,,0,,,98,101
2876,note_on,,,,,56,0,0,,,,,0,,,98,0
2878,note_on,,,,,0,0,1,,,,,0,,,63,0
2878,note_on,,,,,238,0,1,,,,,0,,,60,0
2879,note_on,,,,,1,0,1,,,,,0,,,53,0
2880,note_on,,,,,4,0,0,,,,,0,,,99,105
2939,note_on,,,,,59,0,0,,,,,0,,,99,0
2940,note_on,,,,,1,0,0,,,,,0,,,98,103
2999,note_on,,,,,59,0,0,,,,,0,,,98,0
3000,note_on,,,,,1,0,0,,,,,0,,,99,100
3059,note_on,,,,,59,0,0,,,,,0,,,99,0
3060,note_on,,,,,1,0,0,,,,,0,,,97,98
3119,note_on,,,,,59,0,0,,,,,0,,,97,0
3120,note_on,,,,,1,0,0,,,,,0,,,96,95
3179,note_on,,,,,59,0,0,,,,,0,,,96,0
3180,note_on,,,,,1,0,0,,,,,0,,,95,93
3239,note_on,,,,,59,0,0,,,,,0,,,95,0
3240,note_on,,,,,1,0,0,,,,,0,,,96,90
3299,note_on,,,,,59,0,0,,,,,0,,,96,0
3300,note_on,,,,,1,0,0,,,,,0,,,94,88
3359,note_on,,,,,59,0,0,,,,,0,,,94,0
3360,note_on,,,,,1,0,0,,,,,0,,,93,85
3419,note_on,,,,,59,0,0,,,,,0,,,93,0
3420,note_on,,,,,1,0,0,,,,,0,,,92,83
3479,note_on,,,,,59,0,0,,,,,0,,,92,0
3480,note_on,,,,,1,0,0,,,,,0,,,93,80
3539,note_on,,,,,59,0,0,,,,,0,,,93,0
3540,note_on,,,,,1,0,0,,,,,0,,,91,78
3599,note_on,,,,,59,0,0,,,,,0,,,91,0
3600,note_on,,,,,1,0,0,,,,,0,,,90,75
3659,note_on,,,,,59,0,0,,,,,0,,,90,0
3660,note_on,,,,,1,0,0,,,,,0,,,89,73
3719,note_on,,,,,59,0,0,,,,,0,,,89,0
3720,note_on,,,,,1,0,0,,,,,0,,,90,70
3779,note_on,,,,,59,0,0,,,,,0,,,90,0
3780,note_on,,,,,1,0,0,,,,,0,,,88,70
3839,note_on,,,,,59,0,0,,,,,0,,,88,0
3840,note_on,,,,,1,0,0,,,,,0,,,87,70
3899,note_on,,,,,59,0,0,,,,,0,,,87,0
3900,note_on,,,,,1,0,0,,,,,0,,,86,70
3959,note_on,,,,,59,0,0,,,,,0,,,86,0
3960,note_on,,,,,1,0,0,,,,,0,,,87,70
4019,note_on,,,,,59,0,0,,,,,0,,,87,0
4020,note_on,,,,,1,0,0,,,,,0,,,85,70
4079,note_on,,,,,59,0,0,,,,,0,,,85,0
4080,note_on,,,,,1,0,0,,,,,0,,,84,70
4139,note_on,,,,,59,0,0,,,,,0,,,84,0
4140,note_on,,,,,1,0,0,,,,,0,,,83,70
4199,note_on,,,,,59,0,0,,,,,0,,,83,0
4200,note_on,,,,,1,0,0,,,,,0,,,84,70
4259,note_on,,,,,59,0,0,,,,,0,,,84,0
4260,note_on,,,,,1,0,0,,,,,0,,,82,70
4319,note_on,,,,,59,0,0,,,,,0,,,82,0
4320,note_on,,,,,1441,0,1,,,,,0,,,53,84
4320,note_on,,,,,0,0,1,,,,,0,,,66,70
4320,note_on,,,,,1,0,0,,,,,0,,,81,70
4379,note_on,,,,,59,0,0,,,,,0,,,81,0
4380,note_on,,,,,1,0,0,,,,,0,,,80,70
4383,note_on,,,,,63,0,1,,,,,0,,,57,84
4439,note_on,,,,,59,0,0,,,,,0,,,80,0
4440,note_on,,,,,1,0,0,,,,,0,,,81,70
4447,note_on,,,,,64,0,1,,,,,0,,,60,84
4499,note_on,,,,,59,0,0,,,,,0,,,81,0
4500,note_on,,,,,1,0,0,,,,,0,,,79,70
4512,note_on,,,,,65,0,1,,,,,0,,,63,84
4559,note_on,,,,,59,0,0,,,,,0,,,79,0
4560,note_on,,,,,1,0,0,,,,,0,,,78,70
4619,note_on,,,,,59,0,0,,,,,0,,,78,0
4620,note_on,,,,,1,0,0,,,,,0,,,77,70
4679,note_on,,,,,59,0,0,,,,,0,,,77,0
4680,note_on,,,,,1,0,0,,,,,0,,,78,70
4739,note_on,,,,,59,0,0,,,,,0,,,78,0
4740,note_on,,,,,1,0,0,,,,,0,,,75,70
4798,note_on,,,,,286,0,1,,,,,0,,,57,0
4798,note_on,,,,,0,0,1,,,,,0,,,60,0
4799,note_on,,,,,59,0,0,,,,,0,,,75,0
4799,note_on,,,,,0,0,1,,,,,0,,,66,0
4799,note_on,,,,,0,0,1,,,,,0,,,63,0
4799,note_on,,,,,1,0,1,,,,,0,,,53,0
4800,note_on,,,,,0,0,1,,,,,0,,,67,70
4800,note_on,,,,,1,0,1,,,,,0,,,53,70
4800,note_on,,,,,1,0,0,,,,,0,,,74,70
4856,note_on,,,,,56,0,0,,,,,0,,,74,0
4860,note_on,,,,,4,0,0,,,,,0,,,73,70
4863,note_on,,,,,63,0,1,,,,,0,,,58,70
4916,note_on,,,,,56,0,0,,,,,0,,,73,0
4920,note_on,,,,,4,0,0,,,,,0,,,74,70
4927,note_on,,,,,64,0,1,,,,,0,,,62,70
4976,note_on,,,,,56,0,0,,,,,0,,,74,0
4980,note_on,,,,,4,0,0,,,,,0,,,72,70
5027,note_on,,,,,100,0,1,,,,,0,,,67,0
5036,note_on,,,,,56,0,0,,,,,0,,,72,0
5040,note_on,,,,,13,0,1,,,,,0,,,65,70
5040,note_on,,,,,4,0,0,,,,,0,,,70,70
5096,note_on,,,,,56,0,0,,,,,0,,,70,0
5100,note_on,,,,,4,0,0,,,,,0,,,69,70
5156,note_on,,,,,56,0,0,,,,,0,,,69,0
5160,note_on,,,,,4,0,0,,,,,0,,,70,70
5216,note_on,,,,,56,0,0,,,,,0,,,70,0
5220,note_on,,,,,4,0,0,,,,,0,,,68,70
5267,note_on,,,,,227,0,1,,,,,0,,,65,0
5276,note_on,,,,,56,0,0,,,,,0,,,68,0
5278,note_on,,,,,11,0,1,,,,,0,,,62,0
5280,note_on,,,,,2,0,1,,,,,0,,,61,70
5280,note_on,,,,,4,0,0,,,,,0,,,67,70
5336,note_on,,,,,56,0,0,,,,,0,,,67,0
5340,note_on,,,,,4,0,0,,,,,0,,,66,70
5396,note_on,,,,,56,0,0,,,,,0,,,66,0
5400,note_on,,,,,4,0,0,,,,,0,,,67,70
5456,note_on,,,,,56,0,0,,,,,0,,,67,0
5460,note_on,,,,,4,0,0,,,,,0,,,65,70
5507,note_on,,,,,227,0,1,,,,,0,,,61,0
5516,note_on,,,,,56,0,0,,,,,0,,,65,0
5520,note_on,,,,,0,0,1,,,,,0,,,58,70
5520,note_on,,,,,13,0,1,,,,,0,,,58,0
5520,note_on,,,,,4,0,0,,,,,0,,,73,70
5576,note_on,,,,,56,0,0,,,,,0,,,73,0
5580,note_on,,,,,4,0,0,,,,,0,,,70,70
5636,note_on,,,,,56,0,0,,,,,0,,,70,0
5640,note_on,,,,,4,0,0,,,,,0,,,67,70
5696,note_on,,,,,56,0,0,,,,,0,,,67,0
5700,note_on,,,,,4,0,0,,,,,0,,,65,70
5735,note_on,,,,,215,0,1,,,,,0,,,53,0
5747,note_on,,,,,12,0,1,,,,,0,,,58,0
5756,note_on,,,,,56,0,0,,,,,0,,,65,0
5760,note_on,,,,,13,0,1,,,,,0,,,53,70
5760,note_on,,,,,4,0,0,,,,,0,,,64,70
5802,note_on,,,,,42,0,1,,,,,0,,,55,70
5844,note_on,,,,,42,0,1,,,,,0,,,58,70
5886,note_on,,,,,42,0,1,,,,,0,,,61,70
5987,note_on,,,,,227,0,0,,,,,0,,,64,0
5999,note_on,,,,,113,0,1,,,,,0,,,53,0
5999,note_on,,,,,0,0,1,,,,,0,,,61,0
5999,note_on,,,,,0,0,1,,,,,0,,,58,0
5999,note_on,,,,,0,0,1,,,,,0,,,55,0
6240,note_on,,,,,0,0,0,,,,,0,,,97,50
6240,set_tempo,,,,,253,1,0,,599999,,,,,,,
6240,note_on,,,,,241,0,1,,,,,0,,,88,50
6240,note_on,,,,,0,0,1,,,,,0,,,91,50
6296,note_on,,,,,56,0,0,,,,,0,,,97,0
6299,note_on,,,,,0,0,1,,,,,0,,,91,0
6299,note_on,,,,,59,0,1,,,,,0,,,88,0
6300,note_on,,,,,4,0,0,,,,,0,,,94,50
