tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,port,note,velocity
4920,note_on,,,,,127,0,1,,,,,0,,,64,106
4920,note_on,,,,,0,0,1,,,,,0,,,68,106
4920,note_on,,,,,0,0,1,,,,,0,,,65,106
5027,note_on,,,,,0,0,0,,,,,0,,,71,0
5027,note_on,,,,,227,0,0,,,,,0,,,62,0
5033,note_on,,,,,0,0,1,,,,,0,,,65,0
5033,note_on,,,,,0,0,1,,,,,0,,,68,0
5033,note_on,,,,,113,0,1,,,,,0,,,64,0
5040,note_on,,,,,0,0,0,,,,,0,,,71,112
5040,note_on,,,,,13,0,0,,,,,0,,,62,112
5041,control_change,,,,,1,0,0,,,64,0,0,,,,
5160,note_on,,,,,0,0,1,,,,,0,,,68,112
5160,note_on,,,,,127,0,1,,,,,0,,,64,112
5160,note_on,,,,,0,0,1,,,,,0,,,65,112
5267,note_on,,,,,226,0,0,,,,,0,,,62,0
5267,note_on,,,,,0,0,0,,,,,0,,,71,0
5273,note_on,,,,,113,0,1,,,,,0,,,64,0
5273,note_on,,,,,0,0,1,,,,,0,,,68,0
5273,note_on,,,,,0,0,1,,,,,0,,,65,0
5280,note_on,,,,,13,0,0,,,,,0,,,62,112
5280,note_on,,,,,0,0,0,,,,,0,,,71,112
5400,note_on,,,,,127,0,1,,,,,0,,,64,112
5400,note_on,,,,,0,0,1,,,,,0,,,65,112
5400,note_on,,,,,0,0,1,,,,,0,,,69,112
5507,note_on,,,,,227,0,0,,,,,0,,,62,0
5507,note_on,,,,,0,0,0,,,,,0,,,71,0
5513,note_on,,,,,113,0,1,,,,,0,,,64,0
5513,note_on,,,,,0,0,1,,,,,0,,,65,0
5513,note_on,,,,,0,0,1,,,,,0,,,69,0
5520,note_on,,,,,13,0,0,,,,,0,,,62,112
5520,note_on,,,,,0,0,0,,,,,0,,,71,112
5640,note_on,,,,,127,0,1,,,,,0,,,64,112
5640,note_on,,,,,0,0,1,,,,,0,,,65,112
5640,note_on,,,,,0,0,1,,,,,0,,,69,112
5747,note_on,,,,,0,0,0,,,,,0,,,71,0
5747,note_on,,,,,227,0,0,,,,,0,,,62,0
5753,note_on,,,,,113,0,1,,,,,0,,,64,0
5753,note_on,,,,,0,0,1,,,,,0,,,69,0
5753,note_on,,,,,0,0,1,,,,,0,,,65,0
5760,note_on,,,,,13,0,0,,,,,0,,,63,112
5760,note_on,,,,,0,0,0,,,,,0,,,71,112
5880,note_on,,,,,0,0,1,,,,,0,,,69,112
5880,note_on,,,,,127,0,1,,,,,0,,,64,112
5880,note_on,,,,,0,0,1,,,,,0,,,66,112
5987,note_on,,,,,227,0,0,,,,,0,,,63,0
5987,note_on,,,,,0,0,0,,,,,0,,,71,0
5993,note_on,,,,,0,0,1,,,,,0,,,66,0
5993,note_on,,,,,113,0,1,,,,,0,,,64,0
5993,note_on,,,,,0,0,1,,,,,0,,,69,0
6000,note_on,,,,,0,0,0,,,,,0,,,71,112
6000,note_on,,,,,13,0,0,,,,,0,,,63,112
6120,note_on,,,,,0,0,1,,,,,0,,,69,112
6120,note_on,,,,,127,0,1,,,,,0,,,64,112
6120,note_on,,,,,0,0,1,,,,,0,,,66,112
6227,note_on,,,,,0,0,0,,,,,0,,,71,0
6227,note_on,,,,,227,0,0,,,,,0,,,63,0
6233,note_on,,,,,0,0,1,,,,,0,,,66,0
6233,note_on,,,,,113,0,1,,,,,0,,,64,0
6233,note_on,,,,,0,0,1,,,,,0,,,69,0
6240,note_on,,,,,13,0,0,,,,,0,,,63,112
6240,note_on,,,,,0,0,0,,,,,0,,,71,112
6360,note_on,,,,,127,0,1,,,,,0,,,64,112
6360,note_on,,,,,0,0,1,,,,,0,,,66,112
6360,note_on,,,,,0,0,1,,,,,0,,,69,112
6467,note_on,,,,,227,0,0,,,,,0,,,63,0
6467,note_on,,,,,0,0,0,,,,,0,,,71,0
6480,note_on,,,,,0,0,0,,,,,0,,,71,112
6480,note_on,,,,,13,0,0,,,,,0,,,63,112
6558,note_on,,,,,0,0,0,,,,,0,,,71,0
6558,note_on,,,,,78,0,0,,,,,0,,,63,0
6701,note_on,,,,,0,0,1,,,,,0,,,69,0
6701,note_on,,,,,341,0,1,,,,,0,,,64,0
6701,note_on,,,,,0,0,1,,,,,0,,,66,0
6960,note_on,,,,,0,0,0,,,,,0,,,80,112
6960,note_on,,,,,0,0,0,,,,,0,,,88,112
6960,note_on,,,,,0,0,1,,,,,0,,,44,112
6960,note_on,,,,,0,0,1,,,,,0,,,47,112
6960,note_on,,,,,0,0,1,,,,,0,,,52,112
6960,note_on,,,,,0,0,0,,,,,0,,,83,112
6960,note_on,,,,,259,0,1,,,,,0,,,40,112
6960,note_on,,,,,402,0,0,,,,,0,,,76,112
7038,note_on,,,,,0,0,0,,,,,0,,,83,0
7038,note_on,,,,,78,0,0,,,,,0,,,76,0
7038,note_on,,,,,78,0,1,,,,,0,,,40,0
7038,note_on,,,,,0,0,1,,,,,0,,,52,0
7038,note_on,,,,,0,0,0,,,,,0,,,88,0
7038,note_on,,,,,0,0,0,,,,,0,,,80,0
7038,note_on,,,,,0,0,1,,,,,0,,,44,0
7038,note_on,,,,,0,0,1,,,,,0,,,47,0
7920,set_tempo,,,,,882,1,0,,333333,,,,,,,
8640,note_on,,,,,1602,0,1,,,,,0,,,52,74
8640,note_on,,,,,0,0,1,,,,,0,,,64,74
8759,note_on,,,,,119,0,1,,,,,0,,,52,0
8759,note_on,,,,,0,0,1,,,,,0,,,64,0
8760,note_on,,,,,0,0,0,,,,,0,,,76,74
8760,note_on,,,,,840,0,0,,,,,0,,,64,74
8873,note_on,,,,,0,0,0,,,,,0,,,76,0
8873,note_on,,,,,113,0,0,,,,,0,,,64,0
8880,note_on,,,,,0,0,1,,,,,0,,,64,74
8880,note_on,,,,,121,0,1,,,,,0,,,51,74
8999,note_on,,,,,0,0,1,,,,,0,,,64,0
8999,note_on,,,,,119,0,1,,,,,0,,,51,0
9000,note_on,,,,,0,0,0,,,,,0,,,78,74
9000,note_on,,,,,127,0,0,,,,,0,,,66,74
9113,note_on,,,,,0,0,0,,,,,0,,,78,0
9113,note_on,,,,,113,0,0,,,,,0,,,66,0
9120,note_on,,,,,0,0,1,,,,,0,,,64,74
9120,note_on,,,,,121,0,1,,,,,0,,,50,74
9239,note_on,,,,,119,0,1,,,,,0,,,50,0
9239,note_on,,,,,0,0,1,,,,,0,,,64,0
9240,note_on,,,,,127,0,0,,,,,0,,,68,74
9240,note_on,,,,,0,0,0,,,,,0,,,80,74
9353,note_on,,,,,0,0,0,,,,,0,,,80,0
9353,note_on,,,,,113,0,0,,,,,0,,,68,0
9360,note_on,,,,,0,0,1,,,,,0,,,64,88
9360,note_on,,,,,121,0,1,,,,,0,,,48,74
9480,note_on,,,,,0,0,0,,,,,0,,,81,74
9480,note_on,,,,,127,0,0,,,,,0,,,69,74
9593,note_on,,,,,113,0,0,,,,,0,,,69,0
9593,note_on,,,,,0,0,0,,,,,0,,,81,0
9599,note_on,,,,,239,0,1,,,,,0,,,48,0
9600,note_on,,,,,1,0,1,,,,,0,,,47,74
9719,note_on,,,,,119,0,1,,,,,0,,,47,0
9720,note_on,,,,,127,0,0,,,,,0,,,71,74
9720,note_on,,,,,0,0,0,,,,,0,,,83,74
9833,note_on,,,,,0,0,0,,,,,0,,,83,0
9833,note_on,,,,,113,0,0,,,,,0,,,71,0
9840,note_on,,,,,121,0,1,,,,,0,,,45,74
9959,note_on,,,,,119,0,1,,,,,0,,,45,0
9960,note_on,,,,,0,0,0,,,,,0,,,84,74
9960,note_on,,,,,127,0,0,,,,,0,,,72,74
10073,note_on,,,,,113,0,0,,,,,0,,,72,0
10073,note_on,,,,,0,0,0,,,,,0,,,84,0
10079,note_on,,,,,120,0,1,,,,,0,,,64,0
10080,note_on,,,,,0,0,1,,,,,0,,,52,74
10080,note_on,,,,,1,0,1,,,,,0,,,48,74
10199,note_on,,,,,119,0,1,,,,,0,,,48,0
10199,note_on,,,,,0,0,1,,,,,0,,,52,0
10200,note_on,,,,,127,0,0,,,,,0,,,69,74
10200,note_on,,,,,0,0,0,,,,,0,,,81,74
10313,note_on,,,,,113,0,0,,,,,0,,,69,0
10313,note_on,,,,,0,0,0,,,,,0,,,81,0
10320,note_on,,,,,121,0,1,,,,,0,,,47,75
10320,note_on,,,,,0,0,1,,,,,0,,,52,75
10439,note_on,,,,,119,0,1,,,,,0,,,47,0
10439,note_on,,,,,0,0,1,,,,,0,,,52,0
10440,note_on,,,,,127,0,0,,,,,0,,,71,76
10440,note_on,,,,,0,0,0,,,,,0,,,83,76
10553,note_on,,,,,0,0,0,,,,,0,,,83,0
10553,note_on,,,,,113,0,0,,,,,0,,,71,0
10560,note_on,,,,,121,0,1,,,,,0,,,45,77
10560,note_on,,,,,0,0,1,,,,,0,,,52,77
10679,note_on,,,,,0,0,1,,,,,0,,,52,0
10679,note_on,,,,,119,0,1,,,,,0,,,45,0
10680,note_on,,,,,0,0,0,,,,,0,,,84,78
10680,note_on,,,,,127,0,0,,,,,0,,,72,78
10793,note_on,,,,,0,0,0,,,,,0,,,84,0
10793,note_on,,,,,113,0,0,,,,,0,,,72,0
10800,note_on,,,,,121,0,1,,,,,0,,,44,79
10800,note_on,,,,,0,0,1,,,,,0,,,52,94
10920,note_on,,,,,127,0,0,,,,,0,,,71,79
10920,note_on,,,,,0,0,0,,,,,0,,,83,79
11027,note_on,,,,,227,0,1,,,,,0,,,44,0
11033,note_on,,,,,113,0,0,,,,,0,,,71,0
11033,note_on,,,,,0,0,0,,,,,0,,,83,0
11040,note_on,,,,,13,0,1,,,,,0,,,41,79
11160,note_on,,,,,127,0,0,,,,,0,,,69,78
11160,note_on,,,,,0,0,0,,,,,0,,,81,78
11267,note_on,,,,,227,0,1,,,,,0,,,41,0
11273,note_on,,,,,0,0,0,,,,,0,,,81,0
11273,note_on,,,,,113,0,0,,,,,0,,,69,0
11280,note_on,,,,,13,0,1,,,,,0,,,40,78
11400,note_on,,,,,0,0,0,,,,,0,,,80,77
11400,note_on,,,,,127,0,0,,,,,0,,,68,77
11507,note_on,,,,,227,0,1,,,,,0,,,40,0
11513,note_on,,,,,0,0,0,,,,,0,,,80,0
11513,note_on,,,,,113,0,0,,,,,0,,,68,0
11519,note_on,,,,,12,0,1,,,,,0,,,52,0
11520,note_on,,,,,0,0,1,,,,,0,,,52,77
11520,note_on,,,,,1,0,1,,,,,0,,,42,77
11640,note_on,,,,,127,0,0,,,,,0,,,65,76
11640,note_on,,,,,0,0,0,,,,,0,,,77,76
11747,note_on,,,,,227,0,1,,,,,0,,,42,0
11747,note_on,,,,,0,0,1,,,,,0,,,52,0
11753,note_on,,,,,113,0,0,,,,,0,,,65,0
11753,note_on,,,,,0,0,0,,,,,0,,,77,0
11760,note_on,,,,,0,0,1,,,,,0,,,52,76
11760,note_on,,,,,13,0,1,,,,,0,,,43,76
11880,note_on,,,,,127,0,0,,,,,0,,,64,75
11880,note_on,,,,,0,0,0,,,,,0,,,76,75
11987,note_on,,,,,0,0,1,,,,,0,,,52,0
11987,note_on,,,,,227,0,1,,,,,0,,,43,0
11993,note_on,,,,,113,0,0,,,,,0,,,64,0
11993,note_on,,,,,0,0,0,,,,,0,,,76,0
12000,note_on,,,,,0,0,1,,,,,0,,,52,75
12000,note_on,,,,,13,0,1,,,,,0,,,44,75
12120,note_on,,,,,127,0,0,,,,,0,,,62,74
12120,note_on,,,,,0,0,0,,,,,0,,,74,74
12227,note_on,,,,,227,0,1,,,,,0,,,44,0
12227,note_on,,,,,0,0,1,,,,,0,,,52,0
12233,note_on,,,,,113,0,0,,,,,0,,,62,0
12233,note_on,,,,,0,0,0,,,,,0,,,74,0
12240,note_on,,,,,0,0,1,,,,,0,,,52,74
12240,note_on,,,,,13,0,1,,,,,0,,,45,74
12360,note_on,,,,,127,0,0,,,,,0,,,60,74
12360,note_on,,,,,0,0,0,,,,,0,,,72,74
12467,note_on,,,,,227,0,1,,,,,0,,,45,0
12473,note_on,,,,,0,0,0,,,,,0,,,72,0
12473,note_on,,,,,113,0,0,,,,,0,,,60,0
12480,note_on,,,,,13,0,1,,,,,0,,,47,74
12600,note_on,,,,,0,0,0,,,,,0,,,71,74
12600,note_on,,,,,127,0,0,,,,,0,,,59,74
12707,note_on,,,,,227,0,1,,,,,0,,,47,0
12713,note_on,,,,,0,0,0,,,,,0,,,71,0
12713,note_on,,,,,113,0,0,,,,,0,,,59,0
12720,note_on,,,,,13,0,1,,,,,0,,,48,74
12840,note_on,,,,,0,0,0,,,,,0,,,69,74
12840,note_on,,,,,127,0,0,,,,,0,,,57,74
12923,note_on,,,,,203,0,1,,,,,0,,,52,0
12947,note_on,,,,,24,0,1,,,,,0,,,48,0
12953,note_on,,,,,0,0,0,,,,,0,,,69,0
12953,note_on,,,,,113,0,0,,,,,0,,,57,0
12960,note_on,,,,,0,0,1,,,,,0,,,40,74
12960,note_on,,,,,0,0,1,,,,,0,,,52,74
